student_id,concept_id,n_correct,n_total,n1,n2,rate_global,rate1,rate2,delta
1,arithmetic,20,27,16,11,0.7407407407407407,0.625,0.9090909090909091,0.28409090909090906
9,arithmetic,77,104,40,64,0.7403846153846154,0.8,0.703125,-0.09687500000000004
16,algebra,124,200,58,142,0.62,0.8275862068965517,0.5352112676056338,-0.29237493929091796
17,arithmetic,267,345,137,208,0.7739130434782608,0.7664233576642335,0.7788461538461539,0.012422796181920326
17,geometry,47,80,40,40,0.5875,0.35,0.825,0.475
21,algebra,57,73,25,48,0.7808219178082192,0.68,0.8333333333333334,0.15333333333333332
23,arithmetic,121,165,127,38,0.7333333333333333,0.7401574803149606,0.7105263157894737,-0.029631164525486975
31,algebra,23,32,24,8,0.71875,0.9166666666666666,0.125,-0.7916666666666666
32,arithmetic,18,26,21,5,0.6923076923076923,0.6666666666666666,0.8,0.13333333333333341
35,arithmetic,10,24,10,14,0.4166666666666667,0.6,0.2857142857142857,-0.3142857142857143
41,arithmetic,18,28,7,21,0.6428571428571429,0.42857142857142855,0.7142857142857143,0.28571428571428575
54,algebra,47,60,18,42,0.7833333333333333,0.7777777777777778,0.7857142857142857,0.007936507936507908
54,arithmetic,32,41,33,8,0.7804878048780488,0.7575757575757576,0.875,0.11742424242424243
64,geometry,41,52,4,48,0.7884615384615384,0.5,0.8125,0.3125
78,arithmetic,58,77,41,36,0.7532467532467533,0.926829268292683,0.5555555555555556,-0.3712737127371274
78,geometry,23,34,7,27,0.6764705882352942,0.7142857142857143,0.6666666666666666,-0.04761904761904767
84,arithmetic,19,24,8,16,0.7916666666666666,0.875,0.75,-0.125
85,arithmetic,101,147,101,46,0.6870748299319728,0.7425742574257426,0.5652173913043478,-0.17735686612139479
85,geometry,22,36,1,35,0.6111111111111112,0.0,0.6285714285714286,0.6285714285714286
90,arithmetic,49,66,59,7,0.7424242424242424,0.7457627118644068,0.7142857142857143,-0.03147699757869249
100,geometry,141,190,63,127,0.7421052631578947,0.6984126984126984,0.7637795275590551,0.06536682914635672
102,algebra,17,24,8,16,0.7083333333333334,0.5,0.8125,0.3125
109,arithmetic,45,60,57,3,0.75,0.7894736842105263,0.0,-0.7894736842105263
110,algebra,28,35,24,11,0.8,0.875,0.6363636363636364,-0.23863636363636365
113,arithmetic,36,45,21,24,0.8,0.8095238095238095,0.7916666666666666,-0.017857142857142905
130,algebra,14,26,17,9,0.5384615384615384,0.47058823529411764,0.6666666666666666,0.196078431372549
132,arithmetic,18,24,6,18,0.75,0.3333333333333333,0.8888888888888888,0.5555555555555556
157,algebra,51,66,64,2,0.7727272727272727,0.765625,1.0,0.234375
178,arithmetic,17,23,17,6,0.7391304347826086,0.8823529411764706,0.3333333333333333,-0.5490196078431373
194,analytic_geometry,22,32,16,16,0.6875,0.625,0.75,0.125
195,algebra,55,90,34,56,0.6111111111111112,0.4117647058823529,0.7321428571428571,0.3203781512605042
195,probability_statistics,28,38,13,25,0.7368421052631579,0.3076923076923077,0.96,0.6523076923076923
199,algebra,42,67,66,1,0.6268656716417911,0.6363636363636364,0.0,-0.6363636363636364
