mode,n_samples,taux_accord,regret_moyen,regret_p10,n_observations
sample_y,1,0.2007,0.7905,0.4163,4380
sample_y,3,0.2546,0.8708,0.6163,4380
sample_y,5,0.2671,0.9004,0.6939,4380
sample_y,10,0.2872,0.9352,0.7394,4380
sample_y,30,0.3283,0.9726,0.8900,4380
sample_y,100,0.3304,0.9924,0.9897,4380
sample_z,1,0.0959,0.4372,0.0303,4380
sample_z,3,0.1205,0.6760,0.2113,4380
sample_z,5,0.1653,0.7790,0.3342,4380
sample_z,10,0.1993,0.8729,0.5151,4380
sample_z,30,0.2498,0.9335,0.7433,4380
sample_z,100,0.2870,0.9730,0.9470,4380
