mode,n_samples,z_seed,rep,n_questions,concept_accuracy
sample_y,1,0,0,7,1.0
sample_y,1,0,1,12,1.0
sample_y,1,0,2,23,1.0
sample_y,1,0,3,6,1.0
sample_y,1,0,4,27,1.0
sample_y,1,1,0,12,1.0
sample_y,1,1,1,22,1.0
sample_y,1,1,2,23,1.0
sample_y,1,1,3,11,1.0
sample_y,1,1,4,19,1.0
sample_y,1,2,0,23,1.0
sample_y,1,2,1,16,1.0
sample_y,1,2,2,15,1.0
sample_y,1,2,3,18,0.8571428571428571
sample_y,1,2,4,20,1.0
sample_y,1,3,0,11,1.0
sample_y,1,3,1,7,1.0
sample_y,1,3,2,28,1.0
sample_y,1,3,3,11,1.0
sample_y,1,3,4,10,1.0
sample_y,1,4,0,30,1.0
sample_y,1,4,1,13,1.0
sample_y,1,4,2,19,1.0
sample_y,1,4,3,14,1.0
sample_y,1,4,4,13,1.0
sample_y,1,5,0,16,1.0
sample_y,1,5,1,14,1.0
sample_y,1,5,2,14,1.0
sample_y,1,5,3,15,1.0
sample_y,1,5,4,8,0.7142857142857143
sample_y,1,6,0,17,1.0
sample_y,1,6,1,22,1.0
sample_y,1,6,2,22,1.0
sample_y,1,6,3,20,1.0
sample_y,1,6,4,21,1.0
sample_y,1,7,0,25,1.0
sample_y,1,7,1,24,1.0
sample_y,1,7,2,22,1.0
sample_y,1,7,3,16,1.0
sample_y,1,7,4,23,1.0
sample_y,1,8,0,15,1.0
sample_y,1,8,1,12,1.0
sample_y,1,8,2,24,1.0
sample_y,1,8,3,17,1.0
sample_y,1,8,4,13,1.0
sample_y,1,9,0,13,1.0
sample_y,1,9,1,18,1.0
sample_y,1,9,2,12,1.0
sample_y,1,9,3,14,1.0
sample_y,1,9,4,16,1.0
sample_y,1,10,0,12,1.0
sample_y,1,10,1,18,1.0
sample_y,1,10,2,22,1.0
sample_y,1,10,3,16,1.0
sample_y,1,10,4,15,1.0
sample_y,1,11,0,14,1.0
sample_y,1,11,1,24,0.5714285714285714
sample_y,1,11,2,19,1.0
sample_y,1,11,3,15,1.0
sample_y,1,11,4,17,0.8571428571428571
sample_y,1,12,0,27,1.0
sample_y,1,12,1,30,0.8571428571428571
sample_y,1,12,2,18,0.8571428571428571
sample_y,1,12,3,27,1.0
sample_y,1,12,4,23,1.0
sample_y,1,13,0,15,1.0
sample_y,1,13,1,15,1.0
sample_y,1,13,2,14,1.0
sample_y,1,13,3,20,0.8571428571428571
sample_y,1,13,4,19,1.0
sample_y,1,14,0,26,0.8571428571428571
sample_y,1,14,1,27,1.0
sample_y,1,14,2,20,1.0
sample_y,1,14,3,23,1.0
sample_y,1,14,4,24,1.0
sample_y,1,15,0,16,1.0
sample_y,1,15,1,13,1.0
sample_y,1,15,2,13,1.0
sample_y,1,15,3,12,1.0
sample_y,1,15,4,12,1.0
sample_y,1,16,0,26,1.0
sample_y,1,16,1,22,1.0
sample_y,1,16,2,25,1.0
sample_y,1,16,3,19,1.0
sample_y,1,16,4,20,0.8571428571428571
sample_y,1,17,0,21,1.0
sample_y,1,17,1,21,1.0
sample_y,1,17,2,20,1.0
sample_y,1,17,3,21,1.0
sample_y,1,17,4,17,1.0
sample_y,1,18,0,27,1.0
sample_y,1,18,1,29,1.0
sample_y,1,18,2,27,1.0
sample_y,1,18,3,30,1.0
sample_y,1,18,4,23,1.0
sample_y,1,19,0,22,0.8571428571428571
sample_y,1,19,1,15,1.0
sample_y,1,19,2,12,1.0
sample_y,1,19,3,15,1.0
sample_y,1,19,4,15,1.0
sample_y,1,20,0,19,1.0
sample_y,1,20,1,15,1.0
sample_y,1,20,2,11,1.0
sample_y,1,20,3,15,1.0
sample_y,1,20,4,23,0.8571428571428571
sample_y,1,21,0,19,0.8571428571428571
sample_y,1,21,1,14,1.0
sample_y,1,21,2,15,1.0
sample_y,1,21,3,15,0.8571428571428571
sample_y,1,21,4,26,1.0
sample_y,1,22,0,21,1.0
sample_y,1,22,1,23,1.0
sample_y,1,22,2,21,1.0
sample_y,1,22,3,27,1.0
sample_y,1,22,4,20,1.0
sample_y,1,23,0,30,0.8571428571428571
sample_y,1,23,1,19,0.8571428571428571
sample_y,1,23,2,15,1.0
sample_y,1,23,3,25,1.0
sample_y,1,23,4,15,0.8571428571428571
sample_y,1,24,0,28,1.0
sample_y,1,24,1,27,1.0
sample_y,1,24,2,20,0.8571428571428571
sample_y,1,24,3,15,1.0
sample_y,1,24,4,21,1.0
sample_y,1,25,0,25,1.0
sample_y,1,25,1,20,1.0
sample_y,1,25,2,26,1.0
sample_y,1,25,3,22,1.0
sample_y,1,25,4,29,0.8571428571428571
sample_y,1,26,0,27,0.8571428571428571
sample_y,1,26,1,22,1.0
sample_y,1,26,2,22,1.0
sample_y,1,26,3,22,0.8571428571428571
sample_y,1,26,4,27,0.7142857142857143
sample_y,1,27,0,29,1.0
sample_y,1,27,1,26,0.8571428571428571
sample_y,1,27,2,22,1.0
sample_y,1,27,3,19,1.0
sample_y,1,27,4,20,1.0
sample_y,1,28,0,20,1.0
sample_y,1,28,1,28,1.0
sample_y,1,28,2,27,0.8571428571428571
sample_y,1,28,3,22,1.0
sample_y,1,28,4,26,1.0
sample_y,1,29,0,29,0.8571428571428571
sample_y,1,29,1,30,0.7142857142857143
sample_y,1,29,2,24,0.8571428571428571
sample_y,1,29,3,29,1.0
sample_y,1,29,4,30,1.0
sample_y,1,30,0,27,1.0
sample_y,1,30,1,30,0.7142857142857143
sample_y,1,30,2,23,1.0
sample_y,1,30,3,20,0.8571428571428571
sample_y,1,30,4,30,0.8571428571428571
sample_y,1,31,0,22,1.0
sample_y,1,31,1,14,0.8571428571428571
sample_y,1,31,2,17,0.8571428571428571
sample_y,1,31,3,20,1.0
sample_y,1,31,4,22,1.0
sample_y,1,32,0,18,1.0
sample_y,1,32,1,17,1.0
sample_y,1,32,2,30,0.8571428571428571
sample_y,1,32,3,21,1.0
sample_y,1,32,4,27,1.0
sample_y,1,33,0,22,1.0
sample_y,1,33,1,29,1.0
sample_y,1,33,2,20,1.0
sample_y,1,33,3,27,1.0
sample_y,1,33,4,21,0.8571428571428571
sample_y,1,34,0,21,1.0
sample_y,1,34,1,19,1.0
sample_y,1,34,2,19,1.0
sample_y,1,34,3,25,1.0
sample_y,1,34,4,26,0.7142857142857143
sample_y,1,35,0,21,1.0
sample_y,1,35,1,17,1.0
sample_y,1,35,2,21,1.0
sample_y,1,35,3,20,1.0
sample_y,1,35,4,17,1.0
sample_y,1,36,0,22,1.0
sample_y,1,36,1,28,1.0
sample_y,1,36,2,23,1.0
sample_y,1,36,3,19,0.8571428571428571
sample_y,1,36,4,30,0.8571428571428571
sample_y,1,37,0,28,1.0
sample_y,1,37,1,27,0.7142857142857143
sample_y,1,37,2,21,1.0
sample_y,1,37,3,23,1.0
sample_y,1,37,4,26,0.8571428571428571
sample_y,1,38,0,25,0.7142857142857143
sample_y,1,38,1,18,1.0
sample_y,1,38,2,25,1.0
sample_y,1,38,3,28,1.0
sample_y,1,38,4,21,1.0
sample_y,1,39,0,18,0.8571428571428571
sample_y,1,39,1,29,0.8571428571428571
sample_y,1,39,2,27,0.8571428571428571
sample_y,1,39,3,22,0.8571428571428571
sample_y,1,39,4,24,1.0
sample_y,1,40,0,19,1.0
sample_y,1,40,1,17,1.0
sample_y,1,40,2,24,1.0
sample_y,1,40,3,25,1.0
sample_y,1,40,4,26,1.0
sample_y,1,41,0,20,1.0
sample_y,1,41,1,17,1.0
sample_y,1,41,2,28,0.7142857142857143
sample_y,1,41,3,19,1.0
sample_y,1,41,4,18,1.0
sample_y,1,42,0,19,1.0
sample_y,1,42,1,22,1.0
sample_y,1,42,2,29,0.8571428571428571
sample_y,1,42,3,25,0.8571428571428571
sample_y,1,42,4,18,1.0
sample_y,1,43,0,24,1.0
sample_y,1,43,1,24,1.0
sample_y,1,43,2,23,1.0
sample_y,1,43,3,21,1.0
sample_y,1,43,4,27,1.0
sample_y,1,44,0,21,1.0
sample_y,1,44,1,17,0.8571428571428571
sample_y,1,44,2,23,1.0
