n_concepts,n_states,policy,n_samples,time_per_decision_ms
5,32,exact (pi_star),,0.10668319999967935
5,32,sample_y,10,0.15083435000269674
5,32,sample_y,100,0.15206544999819016
5,32,sample_z,10,0.18712594999669818
5,32,sample_z,100,0.3001093999919249
7,128,exact (pi_star),,0.23356979999516625
7,128,sample_y,10,0.35548369999742135
7,128,sample_y,100,0.3742989000020316
7,128,sample_z,10,0.3911424999969313
7,128,sample_z,100,0.47194299998227507
9,512,exact (pi_star),,0.4497470000060275
9,512,sample_y,10,0.776352599990787
9,512,sample_y,100,0.8297136000182945
9,512,sample_z,10,0.5868771999957971
9,512,sample_z,100,0.5955826000135858
11,2048,exact (pi_star),,1.2540189999708673
11,2048,sample_y,10,2.2754759999224916
11,2048,sample_y,100,2.2839119999844115
11,2048,sample_z,10,0.7093532000144478
11,2048,sample_z,100,1.1613329999818234
13,8192,exact (pi_star),,13.410954999562819
13,8192,sample_y,10,12.986397999920882
13,8192,sample_y,100,17.223735000152374
13,8192,sample_z,10,2.8061000000161584
13,8192,sample_z,100,2.4178650000249036
