policy,z_seed,question_index,longueur_arc_cumulee
adaptatif,0,0,0.000000
adaptatif,0,1,0.870585
adaptatif,0,2,1.660520
adaptatif,0,3,2.286267
adaptatif,0,4,2.901821
adaptatif,0,5,3.865514
adaptatif,0,6,4.832272
adaptatif,0,7,5.793600
adaptatif,0,8,6.755849
adaptatif,0,9,7.364935
adaptatif,0,10,7.966191
adaptatif,0,11,8.401299
adaptatif,1,0,0.000000
adaptatif,1,1,0.870585
adaptatif,1,2,1.660520
adaptatif,1,3,2.286267
adaptatif,1,4,3.119670
adaptatif,1,5,4.073897
adaptatif,1,6,4.615963
adaptatif,1,7,5.579655
adaptatif,1,8,6.245040
adaptatif,1,9,6.854126
adaptatif,1,10,7.253570
adaptatif,1,11,7.688678
adaptatif,1,12,8.110549
adaptatif,1,13,8.352713
adaptatif,2,0,0.000000
adaptatif,2,1,0.870585
adaptatif,2,2,1.660520
adaptatif,2,3,2.450455
adaptatif,2,4,2.949582
adaptatif,2,5,3.778475
adaptatif,2,6,4.277602
adaptatif,2,7,4.894541
adaptatif,2,8,5.356657
adaptatif,2,9,6.296369
adaptatif,2,10,7.069221
adaptatif,2,11,7.504329
adaptatif,2,12,8.013017
adaptatif,2,13,8.724690
adaptatif,2,14,9.533887
adaptatif,2,15,10.453673
adaptatif,2,16,10.840661
adaptatif,2,17,11.373382
adaptatif,2,18,11.614143
adaptatif,2,19,11.963963
adaptatif,3,0,0.000000
adaptatif,3,1,0.600697
adaptatif,3,2,1.226444
adaptatif,3,3,2.059847
adaptatif,3,4,2.849782
adaptatif,3,5,3.373678
adaptatif,3,6,4.337370
adaptatif,3,7,4.765576
adaptatif,3,8,5.373232
adaptatif,3,9,6.258362
adaptatif,3,10,6.590144
adaptatif,3,11,7.041589
adaptatif,3,12,7.472740
adaptatif,4,0,0.000000
adaptatif,4,1,0.870585
adaptatif,4,2,1.660520
adaptatif,4,3,2.450455
adaptatif,4,4,2.949582
adaptatif,4,5,3.566521
adaptatif,4,6,4.530213
adaptatif,4,7,4.992329
adaptatif,4,8,5.599985
adaptatif,4,9,6.485115
adaptatif,4,10,6.936560
adaptatif,4,11,7.371668
adaptatif,4,12,7.803021
adaptatif,5,0,0.000000
adaptatif,5,1,0.870585
adaptatif,5,2,1.660520
adaptatif,5,3,2.286267
adaptatif,5,4,3.119670
adaptatif,5,5,3.643566
adaptatif,5,6,4.607258
adaptatif,5,7,5.216344
adaptatif,5,8,5.548126
adaptatif,5,9,6.059697
adaptatif,5,10,6.775912
adaptatif,5,11,7.207063
adaptatif,6,0,0.000000
adaptatif,6,1,0.870585
adaptatif,6,2,1.660520
adaptatif,6,3,2.450455
adaptatif,6,4,2.949582
adaptatif,6,5,3.778475
adaptatif,6,6,4.277602
adaptatif,6,7,5.106495
adaptatif,6,8,5.496358
adaptatif,6,9,5.886221
adaptatif,6,10,6.397792
adaptatif,6,11,7.026942
adaptatif,6,12,7.972834
adaptatif,6,13,8.555224
adaptatif,6,14,8.977871
adaptatif,6,15,9.400517
adaptatif,6,16,9.821816
adaptatif,6,17,10.322619
adaptatif,6,18,10.950375
adaptatif,6,19,11.889070
adaptatif,6,20,12.421126
adaptatif,6,21,12.668270
adaptatif,6,22,12.913989
adaptatif,6,23,13.048383
adaptatif,6,24,13.181950
adaptatif,6,25,13.349283
adaptatif,6,26,13.516610
adaptatif,6,27,13.746442
adaptatif,6,28,14.056915
adaptatif,6,29,14.219240
adaptatif,7,0,0.000000
adaptatif,7,1,0.600697
adaptatif,7,2,1.390632
adaptatif,7,3,2.180567
adaptatif,7,4,2.679694
adaptatif,7,5,3.508587
adaptatif,7,6,4.472280
adaptatif,7,7,4.900486
adaptatif,7,8,5.509571
adaptatif,7,9,5.899434
adaptatif,7,10,6.322081
adaptatif,7,11,6.743379
adaptatif,7,12,6.994535
adaptatif,7,13,7.241680
adaptatif,8,0,0.000000
adaptatif,8,1,0.870585
adaptatif,8,2,1.660520
adaptatif,8,3,2.450455
adaptatif,8,4,3.414147
adaptatif,8,5,3.913274
adaptatif,8,6,4.742168
adaptatif,8,7,5.351253
adaptatif,8,8,5.741116
adaptatif,8,9,6.252687
adaptatif,8,10,6.968902
adaptatif,8,11,7.470777
adaptatif,8,12,8.098705
adaptatif,8,13,8.645587
adaptatif,8,14,9.001214
adaptatif,8,15,9.435694
adaptatif,8,16,9.747031
adaptatif,9,0,0.000000
adaptatif,9,1,0.870585
adaptatif,9,2,1.660520
adaptatif,9,3,2.450455
adaptatif,9,4,3.414147
adaptatif,9,5,3.913274
adaptatif,9,6,4.742168
adaptatif,9,7,5.351253
adaptatif,9,8,6.290966
adaptatif,9,9,6.918952
adaptatif,9,10,7.421204
adaptatif,9,11,7.732589
adaptatif,9,12,8.244160
adaptatif,9,13,8.873310
adaptatif,9,14,9.819202
adaptatif,9,15,10.367224
adaptatif,9,16,10.794989
adaptatif,9,17,11.300257
adaptatif,9,18,11.928682
adaptatif,9,19,12.472516
adaptatif,9,20,12.824822
adaptatif,10,0,0.000000
adaptatif,10,1,0.870585
adaptatif,10,2,1.496332
adaptatif,10,3,2.329735
adaptatif,10,4,2.955483
adaptatif,10,5,3.788885
adaptatif,10,6,4.312781
adaptatif,10,7,5.267008
adaptatif,10,8,6.210088
adaptatif,10,9,6.751580
adaptatif,10,10,7.636912
adaptatif,10,11,8.491848
adaptatif,10,12,9.057574
adaptatif,10,13,9.435091
adaptatif,10,14,9.968712
adaptatif,10,15,10.480282
adaptatif,10,16,11.196498
adaptatif,10,17,11.697433
adaptatif,10,18,12.396968
adaptatif,10,19,12.637729
adaptatif,10,20,12.949067
adaptatif,11,0,0.000000
adaptatif,11,1,0.600697
adaptatif,11,2,1.390632
adaptatif,11,3,2.016379
adaptatif,11,4,2.631933
adaptatif,11,5,3.131060
adaptatif,11,6,3.959954
adaptatif,11,7,4.418597
adaptatif,11,8,4.857509
adaptatif,11,9,5.817220
adaptatif,11,10,6.533435
adaptatif,11,11,7.473148
adaptatif,11,12,8.246000
adaptatif,11,13,8.505180
adaptatif,11,14,8.758724
adaptatif,11,15,9.196728
adaptatif,11,16,9.801002
adaptatif,12,0,0.000000
adaptatif,12,1,0.870585
adaptatif,12,2,1.660520
adaptatif,12,3,2.286267
adaptatif,12,4,2.901821
adaptatif,12,5,3.400948
adaptatif,12,6,4.017887
adaptatif,12,7,4.984949
adaptatif,12,8,5.443592
adaptatif,12,9,6.108977
adaptatif,12,10,6.547889
adaptatif,12,11,6.947333
adaptatif,12,12,7.382441
adaptatif,12,13,7.883701
adaptatif,12,14,8.583741
adaptatif,12,15,9.357886
adaptatif,12,16,10.296989
adaptatif,12,17,10.829890
adaptatif,12,18,11.722686
adaptatif,12,19,12.333830
adaptatif,12,20,12.782339
adaptatif,12,21,13.019604
adaptatif,12,22,13.328038
adaptatif,12,23,13.636315
adaptatif,12,24,13.824267
adaptatif,13,0,0.000000
adaptatif,13,1,0.600697
adaptatif,13,2,1.390632
adaptatif,13,3,2.016379
adaptatif,13,4,2.849782
adaptatif,13,5,3.373678
adaptatif,13,6,4.337370
adaptatif,13,7,4.765576
adaptatif,13,8,5.373232
adaptatif,13,9,6.258362
adaptatif,13,10,7.143694
adaptatif,13,11,7.751444
adaptatif,13,12,8.192892
adaptatif,13,13,8.716614
adaptatif,13,14,9.452167
adaptatif,13,15,9.879326
adaptatif,13,16,10.130481
