policy,question_index,longueur_arc_moyenne
adaptatif,0,0.000000
adaptatif,1,0.730243
adaptatif,2,1.438084
adaptatif,3,2.139563
adaptatif,4,2.823246
adaptatif,5,3.484308
adaptatif,6,4.164527
adaptatif,7,4.807254
adaptatif,8,5.371811
adaptatif,9,6.002508
adaptatif,10,6.581778
adaptatif,11,7.104966
adaptatif,12,7.574471
adaptatif,13,8.030175
adaptatif,14,8.477206
adaptatif,15,8.867642
adaptatif,16,9.218733
adaptatif,17,9.478818
adaptatif,18,9.708810
adaptatif,19,9.910979
adaptatif,20,10.069131
adaptatif,21,10.181319
adaptatif,22,10.291466
adaptatif,23,10.355482
adaptatif,24,10.429922
adaptatif,25,10.472122
adaptatif,26,10.508728
adaptatif,27,10.536312
adaptatif,28,10.551064
adaptatif,29,10.561465
adaptatif,30,10.563496
aleatoire,0,0.000000
aleatoire,1,0.646329
aleatoire,2,1.281259
aleatoire,3,1.881068
aleatoire,4,2.498289
aleatoire,5,3.063779
aleatoire,6,3.578367
aleatoire,7,4.102374
aleatoire,8,4.590654
aleatoire,9,5.023409
aleatoire,10,5.518469
aleatoire,11,5.936572
aleatoire,12,6.385010
aleatoire,13,6.807652
aleatoire,14,7.170146
aleatoire,15,7.540854
aleatoire,16,7.904451
aleatoire,17,8.283843
aleatoire,18,8.617689
aleatoire,19,8.941141
aleatoire,20,9.298662
aleatoire,21,9.628762
aleatoire,22,9.862235
aleatoire,23,10.174321
aleatoire,24,10.408274
aleatoire,25,10.687287
aleatoire,26,10.854504
aleatoire,27,11.090188
aleatoire,28,11.246683
aleatoire,29,11.414049
aleatoire,30,11.583555
