verite_slip,verite_guess,policy,n_questions_moyen,n_questions_std,exactitude_etat_exact,exactitude_par_concept,exactitude_par_concept_std
0.05,0.25,aleatoire,26.43,4.27,0.834,0.973,0.064
0.05,0.25,cat_irt,30.00,0.00,0.040,0.663,0.165
0.05,0.25,kst_adaptatif,18.12,5.06,0.881,0.981,0.053
0.05,0.4,aleatoire,28.22,3.30,0.571,0.918,0.111
0.05,0.4,cat_irt,30.00,0.00,0.041,0.654,0.172
0.05,0.4,kst_adaptatif,21.38,5.83,0.686,0.940,0.102
0.05,0.55,aleatoire,28.77,2.91,0.320,0.829,0.159
0.05,0.55,cat_irt,30.00,0.00,0.033,0.612,0.182
0.05,0.55,kst_adaptatif,23.30,5.75,0.380,0.856,0.147
0.05,0.7,aleatoire,28.86,2.72,0.112,0.697,0.198
0.05,0.7,cat_irt,30.00,0.00,0.022,0.549,0.207
0.05,0.7,kst_adaptatif,22.80,5.41,0.110,0.715,0.190
0.1,0.25,aleatoire,27.13,4.25,0.726,0.953,0.086
0.1,0.25,cat_irt,30.00,0.00,0.042,0.653,0.175
0.1,0.25,kst_adaptatif,19.29,5.53,0.764,0.958,0.084
0.1,0.4,aleatoire,28.60,3.06,0.529,0.904,0.121
0.1,0.4,cat_irt,30.00,0.00,0.041,0.644,0.182
0.1,0.4,kst_adaptatif,22.52,5.82,0.579,0.918,0.111
0.1,0.55,aleatoire,29.37,2.04,0.243,0.804,0.162
0.1,0.55,cat_irt,30.00,0.00,0.040,0.607,0.191
0.1,0.55,kst_adaptatif,24.27,5.46,0.325,0.830,0.161
0.1,0.7,aleatoire,29.18,2.47,0.082,0.678,0.193
0.1,0.7,cat_irt,30.00,0.00,0.022,0.553,0.207
0.1,0.7,kst_adaptatif,23.53,5.39,0.132,0.707,0.200
0.2,0.25,aleatoire,28.21,3.74,0.498,0.899,0.122
0.2,0.25,cat_irt,30.00,0.00,0.039,0.599,0.202
0.2,0.25,kst_adaptatif,21.66,6.20,0.469,0.886,0.132
0.2,0.4,aleatoire,29.25,2.38,0.318,0.842,0.145
0.2,0.4,cat_irt,30.00,0.00,0.033,0.612,0.192
0.2,0.4,kst_adaptatif,24.07,5.82,0.347,0.855,0.139
0.2,0.55,aleatoire,29.68,1.53,0.170,0.760,0.172
0.2,0.55,cat_irt,30.00,0.00,0.037,0.607,0.193
0.2,0.55,kst_adaptatif,25.56,5.30,0.182,0.772,0.167
0.2,0.7,aleatoire,29.60,1.80,0.045,0.628,0.195
0.2,0.7,cat_irt,30.00,0.00,0.023,0.550,0.209
0.2,0.7,kst_adaptatif,25.43,4.97,0.054,0.639,0.196
0.3,0.25,aleatoire,28.72,3.33,0.275,0.808,0.169
0.3,0.25,cat_irt,30.00,0.00,0.028,0.533,0.209
0.3,0.25,kst_adaptatif,22.88,6.39,0.232,0.786,0.173
0.3,0.4,aleatoire,29.28,2.45,0.185,0.765,0.178
0.3,0.4,cat_irt,30.00,0.00,0.032,0.556,0.211
0.3,0.4,kst_adaptatif,24.94,5.90,0.168,0.751,0.185
0.3,0.55,aleatoire,29.72,1.46,0.064,0.666,0.187
0.3,0.55,cat_irt,30.00,0.00,0.026,0.544,0.211
0.3,0.55,kst_adaptatif,26.23,5.21,0.081,0.676,0.184
0.3,0.7,aleatoire,29.81,1.14,0.024,0.554,0.201
0.3,0.7,cat_irt,30.00,0.00,0.016,0.521,0.213
0.3,0.7,kst_adaptatif,25.91,5.15,0.016,0.559,0.192
