group,z_true,n_questions,correct_diagnosis,hamming
valide (z_true dans Z),algebra_linear|analytic_geometry|arithmetic_base|geometry|probability_statistics,15,True,0
valide (z_true dans Z),algebra_linear|arithmetic_base|fractions_ratios|probability_statistics,24,True,0
valide (z_true dans Z),algebra_advanced|algebra_linear|arithmetic_base|geometry,18,True,0
valide (z_true dans Z),algebra_advanced|algebra_linear|probability_statistics,17,True,0
valide (z_true dans Z),algebra_linear|analytic_geometry|probability_statistics,17,True,0
valide (z_true dans Z),arithmetic_base,27,False,1
valide (z_true dans Z),probability_statistics,13,True,0
valide (z_true dans Z),(vide),13,True,0
valide (z_true dans Z),arithmetic_base|fractions_ratios,10,True,0
valide (z_true dans Z),algebra_linear|analytic_geometry|arithmetic_base|fractions_ratios|geometry,15,True,0
valide (z_true dans Z),algebra_linear|arithmetic_base|geometry|probability_statistics,22,True,0
valide (z_true dans Z),algebra_advanced|algebra_linear|analytic_geometry|arithmetic_base|fractions_ratios|probability_statistics,29,False,1
valide (z_true dans Z),algebra_advanced|algebra_linear|arithmetic_base|geometry,15,True,0
valide (z_true dans Z),algebra_linear|arithmetic_base|fractions_ratios|geometry,21,True,0
valide (z_true dans Z),algebra_linear|analytic_geometry|arithmetic_base|fractions_ratios|geometry|probability_statistics,25,False,1
valide (z_true dans Z),algebra_advanced|algebra_linear|analytic_geometry|arithmetic_base|probability_statistics,30,False,3
valide (z_true dans Z),algebra_linear|arithmetic_base|fractions_ratios|probability_statistics,21,True,0
valide (z_true dans Z),algebra_linear|analytic_geometry|arithmetic_base|fractions_ratios,19,True,0
valide (z_true dans Z),algebra_linear|analytic_geometry|arithmetic_base|fractions_ratios,17,True,0
valide (z_true dans Z),algebra_advanced|algebra_linear|analytic_geometry|arithmetic_base|geometry|probability_statistics,26,False,1
valide (z_true dans Z),algebra_advanced|algebra_linear|probability_statistics,13,True,0
valide (z_true dans Z),algebra_linear|analytic_geometry|arithmetic_base|fractions_ratios|geometry,15,True,0
valide (z_true dans Z),arithmetic_base|fractions_ratios|geometry|probability_statistics,14,True,0
valide (z_true dans Z),(vide),13,False,2
valide (z_true dans Z),arithmetic_base|fractions_ratios|geometry,10,True,0
valide (z_true dans Z),algebra_linear|analytic_geometry|arithmetic_base|geometry|probability_statistics,17,True,0
valide (z_true dans Z),algebra_linear|analytic_geometry|arithmetic_base|fractions_ratios,25,False,1
valide (z_true dans Z),algebra_linear,21,True,0
valide (z_true dans Z),algebra_advanced|algebra_linear|arithmetic_base|fractions_ratios|probability_statistics,16,True,0
valide (z_true dans Z),algebra_advanced|algebra_linear|analytic_geometry|arithmetic_base|probability_statistics,29,True,0
valide (z_true dans Z),algebra_linear|analytic_geometry|arithmetic_base|geometry|probability_statistics,30,False,1
valide (z_true dans Z),arithmetic_base|fractions_ratios,11,True,0
valide (z_true dans Z),algebra_advanced|algebra_linear,15,True,0
valide (z_true dans Z),algebra_linear|arithmetic_base|fractions_ratios|geometry|probability_statistics,27,False,1
valide (z_true dans Z),algebra_linear,16,True,0
valide (z_true dans Z),algebra_linear|analytic_geometry|arithmetic_base|fractions_ratios,23,False,1
valide (z_true dans Z),algebra_advanced|algebra_linear,15,True,0
valide (z_true dans Z),algebra_linear|analytic_geometry|arithmetic_base,30,False,1
valide (z_true dans Z),algebra_advanced|algebra_linear|arithmetic_base|fractions_ratios,26,True,0
valide (z_true dans Z),arithmetic_base|geometry|probability_statistics,11,True,0
valide (z_true dans Z),arithmetic_base|fractions_ratios|probability_statistics,24,True,0
valide (z_true dans Z),algebra_linear,22,False,1
valide (z_true dans Z),(vide),10,True,0
valide (z_true dans Z),algebra_linear|arithmetic_base,30,False,1
valide (z_true dans Z),(vide),11,False,2
valide (z_true dans Z),arithmetic_base|fractions_ratios|geometry|probability_statistics,15,True,0
valide (z_true dans Z),algebra_advanced|algebra_linear|arithmetic_base|probability_statistics,21,True,0
valide (z_true dans Z),algebra_linear|arithmetic_base|geometry|probability_statistics,30,True,0
valide (z_true dans Z),algebra_advanced|algebra_linear|arithmetic_base,27,True,0
valide (z_true dans Z),algebra_linear|arithmetic_base|fractions_ratios|geometry,18,True,0
valide (z_true dans Z),algebra_advanced|algebra_linear|arithmetic_base|fractions_ratios|probability_statistics,25,True,0
valide (z_true dans Z),arithmetic_base|fractions_ratios|geometry,17,True,0
valide (z_true dans Z),algebra_advanced|algebra_linear|analytic_geometry|probability_statistics,28,True,0
valide (z_true dans Z),algebra_advanced|algebra_linear|analytic_geometry|arithmetic_base|fractions_ratios|geometry|probability_statistics,20,True,0
valide (z_true dans Z),algebra_linear|analytic_geometry|arithmetic_base|fractions_ratios|geometry,16,True,0
valide (z_true dans Z),algebra_advanced|algebra_linear|analytic_geometry|arithmetic_base|fractions_ratios|geometry|probability_statistics,19,True,0
valide (z_true dans Z),algebra_linear|arithmetic_base|probability_statistics,17,False,1
valide (z_true dans Z),algebra_advanced|algebra_linear|analytic_geometry|arithmetic_base|fractions_ratios,15,True,0
valide (z_true dans Z),algebra_advanced|algebra_linear|arithmetic_base|fractions_ratios|geometry|probability_statistics,16,True,0
valide (z_true dans Z),algebra_linear|arithmetic_base|geometry|probability_statistics,18,True,0
valide (z_true dans Z),algebra_linear|analytic_geometry|arithmetic_base|geometry|probability_statistics,15,True,0
valide (z_true dans Z),algebra_advanced|algebra_linear|analytic_geometry|arithmetic_base|fractions_ratios,17,True,0
valide (z_true dans Z),algebra_advanced|algebra_linear|analytic_geometry|arithmetic_base|geometry,19,True,0
