student,theta_true,policy,n_questions,concept_accuracy
0,0.1257302210933933,kst_adaptatif,30,0.5714285714285714
0,0.1257302210933933,cat_irt,30,0.2857142857142857
1,-0.1321048632913019,kst_adaptatif,29,0.42857142857142855
1,-0.1321048632913019,cat_irt,30,1.0
2,0.6404226504432821,kst_adaptatif,14,1.0
2,0.6404226504432821,cat_irt,30,1.0
3,0.10490011715303971,kst_adaptatif,14,0.8571428571428571
3,0.10490011715303971,cat_irt,30,0.8571428571428571
4,-0.535669373161111,kst_adaptatif,17,0.5714285714285714
4,-0.535669373161111,cat_irt,30,0.8571428571428571
5,0.36159505490948474,kst_adaptatif,19,0.8571428571428571
5,0.36159505490948474,cat_irt,30,0.8571428571428571
6,1.3040000451301372,kst_adaptatif,25,0.7142857142857143
6,1.3040000451301372,cat_irt,30,1.0
7,0.9470809631292422,kst_adaptatif,14,1.0
7,0.9470809631292422,cat_irt,30,0.8571428571428571
8,-0.7037352358069926,kst_adaptatif,30,0.5714285714285714
8,-0.7037352358069926,cat_irt,30,0.14285714285714285
9,-1.2654214710460525,kst_adaptatif,18,1.0
9,-1.2654214710460525,cat_irt,30,1.0
10,-0.6232744625373522,kst_adaptatif,16,1.0
10,-0.6232744625373522,cat_irt,30,1.0
11,0.0413259793472436,kst_adaptatif,27,0.7142857142857143
11,0.0413259793472436,cat_irt,30,1.0
12,-2.3250307746388343,kst_adaptatif,29,1.0
12,-2.3250307746388343,cat_irt,30,1.0
13,-0.21879166393254573,kst_adaptatif,26,0.7142857142857143
13,-0.21879166393254573,cat_irt,30,0.7142857142857143
14,-1.2459109472530652,kst_adaptatif,25,1.0
14,-1.2459109472530652,cat_irt,30,1.0
15,-0.7322673547034516,kst_adaptatif,22,0.5714285714285714
15,-0.7322673547034516,cat_irt,30,1.0
16,-0.5442589828573099,kst_adaptatif,30,0.5714285714285714
16,-0.5442589828573099,cat_irt,30,1.0
17,-0.31630015636915454,kst_adaptatif,29,0.14285714285714285
17,-0.31630015636915454,cat_irt,30,0.42857142857142855
18,0.4116305363741328,kst_adaptatif,18,0.7142857142857143
18,0.4116305363741328,cat_irt,30,0.8571428571428571
19,1.0425133694426776,kst_adaptatif,26,0.7142857142857143
19,1.0425133694426776,cat_irt,30,1.0
20,-0.12853466294403426,kst_adaptatif,16,0.7142857142857143
20,-0.12853466294403426,cat_irt,30,0.8571428571428571
21,1.3664634705496859,kst_adaptatif,17,0.8571428571428571
21,1.3664634705496859,cat_irt,30,1.0
22,-0.6651946734866135,kst_adaptatif,30,0.8571428571428571
22,-0.6651946734866135,cat_irt,30,0.14285714285714285
23,0.3515100700930197,kst_adaptatif,30,0.5714285714285714
23,0.3515100700930197,cat_irt,30,0.8571428571428571
24,0.9034701816518086,kst_adaptatif,19,0.8571428571428571
24,0.9034701816518086,cat_irt,30,1.0
25,0.09401229776087457,kst_adaptatif,27,0.5714285714285714
25,0.09401229776087457,cat_irt,30,0.8571428571428571
26,-0.7434992493538084,kst_adaptatif,21,0.5714285714285714
26,-0.7434992493538084,cat_irt,30,1.0
27,-0.9217253762584194,kst_adaptatif,30,0.7142857142857143
27,-0.9217253762584194,cat_irt,30,1.0
28,-0.45772582566733916,kst_adaptatif,27,0.5714285714285714
28,-0.45772582566733916,cat_irt,30,0.8571428571428571
29,0.2201951234700494,kst_adaptatif,29,0.7142857142857143
29,0.2201951234700494,cat_irt,30,1.0
30,-1.009618183538736,kst_adaptatif,30,0.8571428571428571
30,-1.009618183538736,cat_irt,30,0.8571428571428571
31,-0.20917557487171307,kst_adaptatif,30,0.42857142857142855
31,-0.20917557487171307,cat_irt,30,0.42857142857142855
32,-0.15922500991447772,kst_adaptatif,29,0.5714285714285714
32,-0.15922500991447772,cat_irt,30,1.0
33,0.5408455846858077,kst_adaptatif,17,1.0
33,0.5408455846858077,cat_irt,30,1.0
34,0.2146591225063409,kst_adaptatif,30,0.2857142857142857
34,0.2146591225063409,cat_irt,30,0.0
35,0.3553727090399214,kst_adaptatif,30,0.5714285714285714
35,0.3553727090399214,cat_irt,30,0.8571428571428571
36,-0.6538286094183394,kst_adaptatif,30,0.42857142857142855
36,-0.6538286094183394,cat_irt,30,0.7142857142857143
37,-0.12961363369276946,kst_adaptatif,27,0.5714285714285714
37,-0.12961363369276946,cat_irt,30,1.0
38,0.7839754700613295,kst_adaptatif,17,0.8571428571428571
38,0.7839754700613295,cat_irt,30,1.0
39,1.4934311452207607,kst_adaptatif,14,1.0
39,1.4934311452207607,cat_irt,30,1.0
40,-1.2590655321041202,kst_adaptatif,30,0.7142857142857143
40,-1.2590655321041202,cat_irt,30,1.0
41,1.5139237747390626,kst_adaptatif,27,0.8571428571428571
41,1.5139237747390626,cat_irt,30,1.0
42,1.3458754237823045,kst_adaptatif,17,1.0
42,1.3458754237823045,cat_irt,30,1.0
43,0.7813114007004275,kst_adaptatif,30,0.5714285714285714
43,0.7813114007004275,cat_irt,30,1.0
44,0.2644556303293035,kst_adaptatif,30,0.2857142857142857
44,0.2644556303293035,cat_irt,30,0.2857142857142857
45,-0.3139228145364278,kst_adaptatif,30,0.42857142857142855
45,-0.3139228145364278,cat_irt,30,0.8571428571428571
46,1.4580206835369587,kst_adaptatif,25,0.8571428571428571
46,1.4580206835369587,cat_irt,30,1.0
47,1.9602583164499647,kst_adaptatif,25,0.8571428571428571
47,1.9602583164499647,cat_irt,30,1.0
48,1.801634869866125,kst_adaptatif,14,1.0
48,1.801634869866125,cat_irt,30,1.0
49,1.31510376473437,kst_adaptatif,19,1.0
49,1.31510376473437,cat_irt,30,1.0
50,0.357380410658956,kst_adaptatif,14,0.8571428571428571
50,0.357380410658956,cat_irt,30,1.0
51,-1.2083186322821715,kst_adaptatif,21,1.0
51,-1.2083186322821715,cat_irt,30,1.0
52,-0.004454133120083229,kst_adaptatif,30,0.7142857142857143
52,-0.004454133120083229,cat_irt,30,0.8571428571428571
53,0.6564749350763358,kst_adaptatif,30,0.2857142857142857
53,0.6564749350763358,cat_irt,30,0.8571428571428571
54,-1.2883614637495544,kst_adaptatif,30,1.0
54,-1.2883614637495544,cat_irt,30,1.0
55,0.39512206018200824,kst_adaptatif,23,0.8571428571428571
55,0.39512206018200824,cat_irt,30,1.0
56,0.42986369482223,kst_adaptatif,26,0.7142857142857143
56,0.42986369482223,cat_irt,30,1.0
57,0.6960427239628685,kst_adaptatif,29,0.8571428571428571
57,0.6960427239628685,cat_irt,30,1.0
58,-1.184117966757189,kst_adaptatif,15,0.42857142857142855
58,-1.184117966757189,cat_irt,30,0.7142857142857143
59,-0.6617025720390349,kst_adaptatif,30,0.7142857142857143
59,-0.6617025720390349,cat_irt,30,0.8571428571428571
60,-0.43643524714322124,kst_adaptatif,28,0.5714285714285714
60,-0.43643524714322124,cat_irt,30,1.0
61,-1.169801907772864,kst_adaptatif,13,1.0
61,-1.169801907772864,cat_irt,30,1.0
62,1.739367877130134,kst_adaptatif,14,1.0
62,1.739367877130134,cat_irt,30,1.0
63,-0.4959107284421519,kst_adaptatif,26,0.2857142857142857
63,-0.4959107284421519,cat_irt,30,0.14285714285714285
64,0.3289696294602021,kst_adaptatif,30,0.5714285714285714
64,0.3289696294602021,cat_irt,30,0.8571428571428571
65,-0.258572545473924,kst_adaptatif,30,0.42857142857142855
65,-0.258572545473924,cat_irt,30,0.42857142857142855
66,1.5834728788021222,kst_adaptatif,14,1.0
66,1.5834728788021222,cat_irt,30,1.0
67,1.3203609870818391,kst_adaptatif,17,0.8571428571428571
67,1.3203609870818391,cat_irt,30,1.0
68,0.6333526228249152,kst_adaptatif,18,0.8571428571428571
68,0.6333526228249152,cat_irt,30,1.0
69,-2.2035098806466507,kst_adaptatif,8,1.0
69,-2.2035098806466507,cat_irt,30,1.0
70,0.05202897425988651,kst_adaptatif,20,0.8571428571428571
70,0.05202897425988651,cat_irt,30,0.8571428571428571
71,0.6836861907765345,kst_adaptatif,22,1.0
71,0.6836861907765345,cat_irt,30,1.0
72,1.0039615758421696,kst_adaptatif,17,1.0
72,1.0039615758421696,cat_irt,30,1.0
73,-0.6179070447076008,kst_adaptatif,30,0.5714285714285714
73,-0.6179070447076008,cat_irt,30,0.7142857142857143
74,1.8220113633283233,kst_adaptatif,25,0.8571428571428571
74,1.8220113633283233,cat_irt,30,1.0
75,-1.3204309700132935,kst_adaptatif,27,1.0
75,-1.3204309700132935,cat_irt,30,1.0
76,-0.6615280218152191,kst_adaptatif,30,0.2857142857142857
76,-0.6615280218152191,cat_irt,30,0.7142857142857143
77,0.9350499881140221,kst_adaptatif,25,0.7142857142857143
77,0.9350499881140221,cat_irt,30,1.0
78,0.049054613825311656,kst_adaptatif,30,0.8571428571428571
78,0.049054613825311656,cat_irt,30,1.0
79,2.002392583645255,kst_adaptatif,14,1.0
79,2.002392583645255,cat_irt,30,1.0
80,0.18851919251246557,kst_adaptatif,25,0.7142857142857143
80,0.18851919251246557,cat_irt,30,0.8571428571428571
81,-0.6331940901922267,kst_adaptatif,30,0.42857142857142855
81,-0.6331940901922267,cat_irt,30,0.8571428571428571
82,-0.37756350523280824,kst_adaptatif,30,0.5714285714285714
82,-0.37756350523280824,cat_irt,30,0.7142857142857143
83,-1.0911461176191954,kst_adaptatif,30,0.7142857142857143
83,-1.0911461176191954,cat_irt,30,0.8571428571428571
84,-1.277680166386608,kst_adaptatif,23,1.0
84,-1.277680166386608,cat_irt,30,1.0
85,0.6304114907682319,kst_adaptatif,19,0.8571428571428571
85,0.6304114907682319,cat_irt,30,1.0
86,0.5811658124128057,kst_adaptatif,30,0.7142857142857143
86,0.5811658124128057,cat_irt,30,1.0
87,1.294558819441117,kst_adaptatif,19,1.0
87,1.294558819441117,cat_irt,30,1.0
88,-0.7546057912599311,kst_adaptatif,30,0.8571428571428571
88,-0.7546057912599311,cat_irt,30,0.7142857142857143
89,1.689107452443673,kst_adaptatif,25,0.8571428571428571
89,1.689107452443673,cat_irt,30,1.0
90,-0.2873877078086663,kst_adaptatif,28,0.7142857142857143
90,-0.2873877078086663,cat_irt,30,1.0
91,1.5744082788445868,kst_adaptatif,17,1.0
91,1.5744082788445868,cat_irt,30,1.0
92,-0.4327858471825968,kst_adaptatif,19,0.2857142857142857
92,-0.4327858471825968,cat_irt,30,1.0
93,-0.735483292342275,kst_adaptatif,18,0.5714285714285714
93,-0.735483292342275,cat_irt,30,1.0
94,0.24978537155866684,kst_adaptatif,17,0.8571428571428571
94,0.24978537155866684,cat_irt,30,1.0
95,1.0314530848694723,kst_adaptatif,27,0.8571428571428571
95,1.0314530848694723,cat_irt,30,1.0
96,0.16100957671534466,kst_adaptatif,19,0.7142857142857143
96,0.16100957671534466,cat_irt,30,0.8571428571428571
97,-0.5855288241233366,kst_adaptatif,28,0.42857142857142855
97,-0.5855288241233366,cat_irt,30,0.2857142857142857
98,-1.341219714076669,kst_adaptatif,29,0.5714285714285714
98,-1.341219714076669,cat_irt,30,0.14285714285714285
99,-1.401520214917428,kst_adaptatif,11,1.0
99,-1.401520214917428,cat_irt,30,1.0
100,0.5026828498748657,kst_adaptatif,30,0.42857142857142855
100,0.5026828498748657,cat_irt,30,0.2857142857142857
101,0.989713033285805,kst_adaptatif,27,0.7142857142857143
101,0.989713033285805,cat_irt,30,1.0
102,-0.1642945926252907,kst_adaptatif,15,0.8571428571428571
102,-0.1642945926252907,cat_irt,30,1.0
103,-1.0743648582284346,kst_adaptatif,30,0.5714285714285714
103,-1.0743648582284346,cat_irt,30,0.14285714285714285
104,0.8730421526217066,kst_adaptatif,17,1.0
104,0.8730421526217066,cat_irt,30,1.0
105,-1.2803939447145731,kst_adaptatif,30,0.8571428571428571
105,-1.2803939447145731,cat_irt,30,1.0
106,-0.7130680950592722,kst_adaptatif,25,0.42857142857142855
106,-0.7130680950592722,cat_irt,30,0.14285714285714285
107,0.6210178535400985,kst_adaptatif,29,0.7142857142857143
107,0.6210178535400985,cat_irt,30,1.0
108,-2.2501411735745918,kst_adaptatif,17,1.0
108,-2.2501411735745918,cat_irt,30,1.0
109,0.38636959756630584,kst_adaptatif,25,0.7142857142857143
109,0.38636959756630584,cat_irt,30,1.0
110,-0.5816408364095031,kst_adaptatif,30,0.7142857142857143
110,-0.5816408364095031,cat_irt,30,0.8571428571428571
111,0.10927969747781388,kst_adaptatif,30,0.5714285714285714
111,0.10927969747781388,cat_irt,30,0.42857142857142855
112,-0.07570152622082311,kst_adaptatif,30,0.5714285714285714
112,-0.07570152622082311,cat_irt,30,0.2857142857142857
113,0.20211439504395987,kst_adaptatif,26,0.5714285714285714
113,0.20211439504395987,cat_irt,30,0.8571428571428571
114,0.6941719367070082,kst_adaptatif,27,0.8571428571428571
114,0.6941719367070082,cat_irt,30,1.0
115,-0.7583697508984092,kst_adaptatif,30,0.42857142857142855
115,-0.7583697508984092,cat_irt,30,0.14285714285714285
116,1.4209820223119163,kst_adaptatif,28,0.7142857142857143
116,1.4209820223119163,cat_irt,30,1.0
117,0.726093788947765,kst_adaptatif,20,0.8571428571428571
117,0.726093788947765,cat_irt,30,1.0
118,0.843732662303268,kst_adaptatif,28,0.7142857142857143
118,0.843732662303268,cat_irt,30,1.0
119,1.1648639811110282,kst_adaptatif,23,0.7142857142857143
119,1.1648639811110282,cat_irt,30,1.0
120,0.7875882217058694,kst_adaptatif,17,1.0
120,0.7875882217058694,cat_irt,30,1.0
121,0.844078680578592,kst_adaptatif,25,0.8571428571428571
121,0.844078680578592,cat_irt,30,1.0
122,0.07559361074288512,kst_adaptatif,27,0.8571428571428571
122,0.07559361074288512,cat_irt,30,1.0
123,-1.4267738509897323,kst_adaptatif,30,0.8571428571428571
123,-1.4267738509897323,cat_irt,30,1.0
124,-0.13504510003701392,kst_adaptatif,30,0.5714285714285714
124,-0.13504510003701392,cat_irt,30,1.0
125,-0.7695146401767057,kst_adaptatif,30,0.5714285714285714
125,-0.7695146401767057,cat_irt,30,0.14285714285714285
126,-1.4227417685154136,kst_adaptatif,30,0.8571428571428571
126,-1.4227417685154136,cat_irt,30,1.0
