verite_slip,verite_guess,policy,n_questions_moyen,n_questions_std,exactitude_etat_exact,exactitude_par_concept,exactitude_par_concept_std
0.05,0.25,aleatoire,29.93,0.66,0.844,0.975,0.063
0.05,0.25,cat_irt,30.00,0.00,0.041,0.626,0.189
0.05,0.25,kst_adaptatif,26.87,3.03,0.921,0.988,0.043
0.05,0.4,aleatoire,29.99,0.12,0.578,0.919,0.112
0.05,0.4,cat_irt,30.00,0.00,0.041,0.651,0.171
0.05,0.4,kst_adaptatif,27.88,2.36,0.714,0.949,0.092
0.05,0.55,aleatoire,30.00,0.06,0.324,0.829,0.159
0.05,0.55,cat_irt,30.00,0.00,0.040,0.644,0.176
0.05,0.55,kst_adaptatif,28.15,2.03,0.389,0.858,0.146
0.05,0.7,aleatoire,30.00,0.00,0.112,0.697,0.198
0.05,0.7,cat_irt,30.00,0.00,0.031,0.582,0.197
0.05,0.7,kst_adaptatif,27.30,2.07,0.135,0.723,0.191
0.1,0.25,aleatoire,29.90,0.77,0.732,0.954,0.085
0.1,0.25,cat_irt,30.00,0.00,0.046,0.599,0.202
0.1,0.25,kst_adaptatif,27.32,3.07,0.780,0.965,0.070
0.1,0.4,aleatoire,29.99,0.17,0.531,0.906,0.120
0.1,0.4,cat_irt,30.00,0.00,0.043,0.616,0.195
0.1,0.4,kst_adaptatif,28.37,2.18,0.642,0.933,0.102
0.1,0.55,aleatoire,29.99,0.16,0.244,0.805,0.162
0.1,0.55,cat_irt,30.00,0.00,0.041,0.627,0.190
0.1,0.55,kst_adaptatif,28.44,1.95,0.330,0.835,0.157
0.1,0.7,aleatoire,30.00,0.00,0.083,0.678,0.193
0.1,0.7,cat_irt,30.00,0.00,0.027,0.582,0.202
0.1,0.7,kst_adaptatif,27.71,2.08,0.121,0.710,0.192
0.2,0.25,aleatoire,29.96,0.51,0.505,0.901,0.122
0.2,0.25,cat_irt,30.00,0.00,0.038,0.542,0.209
0.2,0.25,kst_adaptatif,28.13,2.63,0.476,0.891,0.128
0.2,0.4,aleatoire,29.98,0.40,0.320,0.842,0.145
0.2,0.4,cat_irt,30.00,0.00,0.038,0.552,0.214
0.2,0.4,kst_adaptatif,28.93,1.91,0.366,0.861,0.134
0.2,0.55,aleatoire,29.99,0.19,0.168,0.759,0.172
0.2,0.55,cat_irt,30.00,0.00,0.036,0.580,0.204
0.2,0.55,kst_adaptatif,29.07,1.64,0.195,0.780,0.168
0.2,0.7,aleatoire,30.00,0.00,0.045,0.628,0.195
0.2,0.7,cat_irt,30.00,0.00,0.028,0.552,0.214
0.2,0.7,kst_adaptatif,28.59,1.91,0.061,0.644,0.194
0.3,0.25,aleatoire,29.96,0.36,0.273,0.807,0.169
0.3,0.25,cat_irt,30.00,0.00,0.025,0.493,0.213
0.3,0.25,kst_adaptatif,28.52,2.45,0.227,0.778,0.173
0.3,0.4,aleatoire,30.00,0.00,0.188,0.766,0.177
0.3,0.4,cat_irt,30.00,0.00,0.026,0.503,0.216
0.3,0.4,kst_adaptatif,29.25,1.73,0.165,0.749,0.182
0.3,0.55,aleatoire,30.00,0.00,0.064,0.667,0.187
0.3,0.55,cat_irt,30.00,0.00,0.025,0.513,0.218
0.3,0.55,kst_adaptatif,29.49,1.33,0.078,0.679,0.183
0.3,0.7,aleatoire,30.00,0.00,0.024,0.554,0.201
0.3,0.7,cat_irt,30.00,0.00,0.019,0.494,0.216
0.3,0.7,kst_adaptatif,29.05,1.67,0.031,0.564,0.201
