policy,seed,z_true,n_questions,correct_diagnosis,concept_accuracy
adaptatif,0,(vide),74,True,1.0
aleatoire,0,(vide),56,True,1.0
cat_irt,0,(vide),150,True,1.0
adaptatif,1,algebra,57,True,1.0
aleatoire,1,algebra,150,False,0.8
cat_irt,1,algebra,150,False,0.8
adaptatif,2,arithmetic,48,True,1.0
aleatoire,2,arithmetic,150,True,1.0
cat_irt,2,arithmetic,150,False,0.8
adaptatif,3,probability_statistics,55,True,1.0
aleatoire,3,probability_statistics,91,False,0.8
cat_irt,3,probability_statistics,150,False,0.8
adaptatif,4,algebra|analytic_geometry,114,False,0.6
aleatoire,4,algebra|analytic_geometry,80,False,0.8
cat_irt,4,algebra|analytic_geometry,150,False,0.6
adaptatif,5,algebra|arithmetic,75,True,1.0
aleatoire,5,algebra|arithmetic,150,False,0.8
cat_irt,5,algebra|arithmetic,150,False,0.6
adaptatif,6,algebra|probability_statistics,63,True,1.0
aleatoire,6,algebra|probability_statistics,150,False,0.6
cat_irt,6,algebra|probability_statistics,150,False,0.6
adaptatif,7,arithmetic|geometry,39,True,1.0
aleatoire,7,arithmetic|geometry,92,True,1.0
cat_irt,7,arithmetic|geometry,150,False,0.6
adaptatif,8,arithmetic|probability_statistics,116,False,0.6
aleatoire,8,arithmetic|probability_statistics,150,True,1.0
cat_irt,8,arithmetic|probability_statistics,150,False,0.6
adaptatif,9,algebra|analytic_geometry|arithmetic,103,True,1.0
aleatoire,9,algebra|analytic_geometry|arithmetic,150,True,1.0
cat_irt,9,algebra|analytic_geometry|arithmetic,150,False,0.4
adaptatif,10,algebra|analytic_geometry|probability_statistics,62,True,1.0
aleatoire,10,algebra|analytic_geometry|probability_statistics,111,True,1.0
cat_irt,10,algebra|analytic_geometry|probability_statistics,150,False,0.6
adaptatif,11,algebra|arithmetic|geometry,54,True,1.0
aleatoire,11,algebra|arithmetic|geometry,135,True,1.0
cat_irt,11,algebra|arithmetic|geometry,150,False,0.4
adaptatif,12,algebra|arithmetic|probability_statistics,105,False,0.8
aleatoire,12,algebra|arithmetic|probability_statistics,87,False,0.8
cat_irt,12,algebra|arithmetic|probability_statistics,150,False,0.4
adaptatif,13,arithmetic|geometry|probability_statistics,58,False,0.8
aleatoire,13,arithmetic|geometry|probability_statistics,65,True,1.0
cat_irt,13,arithmetic|geometry|probability_statistics,150,False,0.4
adaptatif,14,algebra|analytic_geometry|arithmetic|geometry,84,False,0.8
aleatoire,14,algebra|analytic_geometry|arithmetic|geometry,75,True,1.0
cat_irt,14,algebra|analytic_geometry|arithmetic|geometry,150,False,0.2
adaptatif,15,algebra|analytic_geometry|arithmetic|probability_statistics,103,True,1.0
aleatoire,15,algebra|analytic_geometry|arithmetic|probability_statistics,150,False,0.8
cat_irt,15,algebra|analytic_geometry|arithmetic|probability_statistics,150,False,0.8
adaptatif,16,algebra|arithmetic|geometry|probability_statistics,83,True,1.0
aleatoire,16,algebra|arithmetic|geometry|probability_statistics,148,True,1.0
cat_irt,16,algebra|arithmetic|geometry|probability_statistics,150,False,0.2
adaptatif,17,algebra|analytic_geometry|arithmetic|geometry|probability_statistics,54,True,1.0
aleatoire,17,algebra|analytic_geometry|arithmetic|geometry|probability_statistics,77,True,1.0
cat_irt,17,algebra|analytic_geometry|arithmetic|geometry|probability_statistics,150,True,1.0
